                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.25967,                0.21078,                 1.0357,                0.46878,                0.55644,                0.51366,                0.47747,                0.30726,                 0.4521,                 1.5273,               0.003268,               0.003268,               0.003268
                     70,                0.25856,                0.20933,                 1.0372,                0.46813,                 0.5563,                0.51333,                0.47728,                0.30738,                0.45316,                  1.528,               0.003169,               0.003169,               0.003169
                     71,                0.25595,                0.20657,                 1.0327,                0.46792,                0.55604,                0.51272,                0.47684,                0.30736,                0.45342,                  1.529,                0.00307,                0.00307,                0.00307
                     72,                0.25516,                 0.2067,                 1.0329,                0.46724,                0.55667,                0.51269,                0.47675,                0.30739,                0.45389,                 1.5299,               0.002971,               0.002971,               0.002971
                     73,                 0.2545,                0.20506,                 1.0354,                0.46731,                0.55726,                0.51274,                0.47678,                0.30741,                0.45439,                 1.5302,               0.002872,               0.002872,               0.002872
                     74,                0.25291,                0.20391,                 1.0309,                0.46717,                 0.5566,                0.51262,                0.47678,                0.30744,                0.45468,                 1.5316,               0.002773,               0.002773,               0.002773
                     75,                0.25112,                0.20264,                 1.0286,                0.46696,                0.55687,                0.51243,                 0.4766,                0.30754,                0.45531,                 1.5327,               0.002674,               0.002674,               0.002674
                     76,                0.24993,                0.20129,                  1.029,                0.46612,                0.55905,                 0.5122,                 0.4763,                 0.3077,                0.45619,                 1.5335,               0.002575,               0.002575,               0.002575
                     77,                 0.2489,                0.20073,                 1.0267,                0.46653,                0.55862,                0.51243,                0.47649,                0.30782,                0.45678,                 1.5343,               0.002476,               0.002476,               0.002476
                     78,                0.24656,                 0.1983,                 1.0271,                0.46727,                0.55983,                0.51262,                0.47661,                 0.3078,                 0.4577,                 1.5355,               0.002377,               0.002377,               0.002377
                     79,                0.24546,                0.19883,                 1.0258,                0.46867,                0.56134,                0.51256,                0.47659,                0.30778,                0.45834,                 1.5369,               0.002278,               0.002278,               0.002278
                     80,                0.24354,                0.19633,                 1.0272,                0.46949,                0.56054,                0.51252,                0.47661,                0.30771,                0.45883,                 1.5377,               0.002179,               0.002179,               0.002179
                     81,                0.24168,                0.19412,                 1.0244,                0.46914,                0.56085,                0.51249,                0.47665,                0.30776,                0.45916,                 1.5383,                0.00208,                0.00208,                0.00208
                     82,                0.24079,                0.19349,                  1.025,                0.46883,                0.56028,                0.51228,                0.47647,                0.30764,                0.45947,                 1.5394,               0.001981,               0.001981,               0.001981
                     83,                0.23989,                0.19278,                  1.022,                0.46861,                0.56109,                0.51222,                0.47653,                0.30765,                0.45972,                 1.5402,               0.001882,               0.001882,               0.001882
                     84,                0.23839,                0.19082,                 1.0242,                0.46854,                0.56045,                0.51201,                0.47625,                0.30757,                0.46002,                 1.5408,               0.001783,               0.001783,               0.001783
                     85,                0.23664,                0.18945,                 1.0186,                0.46856,                0.56082,                0.51194,                0.47614,                0.30759,                 0.4602,                 1.5419,               0.001684,               0.001684,               0.001684
